name,rank,points,Best result 1,Best result 2,Best result 3,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-04-22_Enschede_points_current,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-05-27_Groningen_points_current,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-06-17_Amsterdam_points_current,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2023-11-26_Enschede_points_current,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-01-20_Amsterdam_points_current,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-02-11_Groningen_points_current,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-04-06_Enschede_points_current,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-05-04_Groningen_points_current,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-01_Amsterdam_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Stijn Bakker,77,1033,660,283,90,23,150,90,,,,,,,18,354,283,,,,,,,,,,,,,,,,9,660,660,,,
Dante Vanderveken,78,1030,1030,,,,,,,,,,,,,,,,,,5,1030,1030,,,,,,,,,,,,,,,
Adriaan Van Gerven,78,1030,1030,,,,,,,,,,,,,,,,,,5,1030,1030,,,,,,,,,,,,,,,
Bart Haddink,80,1009,690,319,,,,,10,531,319,,,,,,,,,,,,,11,690,690,,,,,,,,,,,,
Konradin Müskens,81,987,504,309,174,,,,,,,37,290,174,,,,,,,18,309,309,,,,15,504,504,,,,,,,,,
Oscar Stolk,82,981,517,463,,,,,,,,,,,,,,,,,14,463,463,14,517,517,,,,,,,,,,,,
Omar el Tambouli,83,967,504,463,,,,,,,,,,,,,,,,,16,463,463,,,,13,504,504,,,,,,,,,
jasper toebes,84,944,944,,,,,,,,,,,,6,1180,944,,,,,,,,,,,,,,,,,,,,,
Pieter van der Plas,85,934,566,367,,,,,,,,,,,9,708,566,,,,,,,,,,,,,,,,,,,18,367,367
Yannick Onstenk,86,899,660,239,,,,,14,398,239,,,,,,,,,,,,,,,,,,,10,660,660,,,,,,
Mady Smit,87,891,517,283,90,23,150,90,,,,,,,18,354,283,,,,,,,13,517,517,,,,,,,,,,,,
Noah Mensch,88,880,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,880,880,,,
Florian Engelsing,88,880,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,880,880,,,
Hauke Moeschke,90,880,880,,,,,,,,,,,,,,,,,,,,,,,,,,,7,880,880,,,,,,
Ben ten Berge,91,827,566,261,,,,,,,,24,435,261,9,708,566,,,,,,,,,,,,,,,,,,,,,
Niels van Weerdenburg,92,826,517,309,,,,,,,,,,,,,,,,,22,309,309,15,517,517,,,,,,,,,,,,
Quinten van Duin,92,826,517,309,,,,,,,,,,,,,,,,,19,309,309,15,517,517,,,,,,,,,,,,
Marie-Alexia Teisseyre,94,824,824,,,,,,,,,,,,,,,,,,8,824,824,,,,,,,,,,,,,,,
Britt Vankemenade,94,824,824,,,,,,,,,,,,,,,,,,8,824,824,,,,,,,,,,,,,,,
Annabel Beiner,96,813,330,309,174,,,,20,266,159,40,290,174,,,,,,,24,309,309,,,,,,,19,330,330,,,,,,
Johannes Lang,97,743,743,,,,,,4,1239,743,,,,,,,,,,,,,,,,,,,,,,,,,,,
